nombre,correo,telefono,servicio,canal,canal_origen,hora_contacto,dias_desde_contacto,mensaje_largo,urgencia,interes_activo
Lead 51,lead51@mail.com,976880548,Limpieza dental,Instagram,Comentario IG,20,28,0,1,0
Lead 52,lead52@mail.com,949769056,Blanqueamiento,Instagram,Historia,14,28,0,1,0
Lead 53,lead53@mail.com,966877183,Blanqueamiento,Instagram,Comentario IG,10,28,0,1,1
Lead 54,lead54@mail.com,943999533,Ortodoncia,Instagram,Historia,8,24,0,1,0
Lead 55,lead55@mail.com,988725274,Limpieza dental,Facebook,Comentario FB,14,17,0,1,1
Lead 56,lead56@mail.com,977607727,Evaluación general,WhatsApp,Mensaje directo,16,1,0,1,1
Lead 57,lead57@mail.com,986294551,Endodoncia,TikTok,Live,13,28,0,0,0
Lead 58,lead58@mail.com,946253447,Endodoncia,WhatsApp,Grupo de ofertas,19,27,0,0,0
Lead 59,lead59@mail.com,912503771,Blanqueamiento,Instagram,Comentario IG,22,13,1,1,1
Lead 60,lead60@mail.com,958939582,Implantes,WhatsApp,Grupo de ofertas,8,1,0,0,0
Lead 61,lead61@mail.com,942576169,Endodoncia,Instagram,Inbox IG,20,28,1,1,1
Lead 62,lead62@mail.com,995871668,Limpieza dental,Facebook,Comentario FB,12,14,0,0,0
Lead 63,lead63@mail.com,939549535,Limpieza dental,TikTok,DM TikTok,18,11,1,0,0
Lead 64,lead64@mail.com,940503180,Endodoncia,TikTok,Live,10,29,0,0,0
Lead 65,lead65@mail.com,916319707,Ortodoncia,Otro,Anuncio Google,8,27,1,0,0
Lead 66,lead66@mail.com,946396424,Endodoncia,WhatsApp,Mensaje directo,16,22,0,0,1
Lead 67,lead67@mail.com,987209213,Ortodoncia,WhatsApp,Mensaje directo,18,20,0,1,1
Lead 68,lead68@mail.com,981709884,Limpieza dental,TikTok,DM TikTok,12,15,0,1,0
Lead 69,lead69@mail.com,962496015,Blanqueamiento,TikTok,DM TikTok,13,4,0,0,0
Lead 70,lead70@mail.com,911748014,Implantes,TikTok,DM TikTok,9,4,0,0,1
Lead 71,lead71@mail.com,927541337,Limpieza dental,Facebook,Comentario FB,7,29,1,0,0
Lead 72,lead72@mail.com,982193785,Implantes,Otro,Anuncio Google,16,15,1,0,0
Lead 73,lead73@mail.com,913693305,Evaluación general,Otro,Anuncio Google,16,21,0,0,0
Lead 74,lead74@mail.com,944654999,Evaluación general,Otro,Landing page,9,25,0,0,0
Lead 75,lead75@mail.com,994607827,Implantes,Instagram,Historia,22,22,1,1,0
Lead 76,lead76@mail.com,971704882,Endodoncia,TikTok,Live,14,11,0,0,0
Lead 77,lead77@mail.com,992396202,Endodoncia,Instagram,Inbox IG,17,4,0,1,0
Lead 78,lead78@mail.com,912976242,Blanqueamiento,Instagram,Inbox IG,18,28,0,0,1
Lead 79,lead79@mail.com,918454561,Ortodoncia,WhatsApp,Grupo de ofertas,8,2,0,0,0
Lead 80,lead80@mail.com,920617244,Limpieza dental,Instagram,Inbox IG,9,8,0,0,0
Lead 81,lead81@mail.com,983963364,Blanqueamiento,WhatsApp,Mensaje directo,14,3,0,1,0
Lead 82,lead82@mail.com,910070640,Blanqueamiento,TikTok,Live,15,23,1,1,1
Lead 83,lead83@mail.com,913741196,Evaluación general,TikTok,Live,13,23,1,0,1
Lead 84,lead84@mail.com,969946863,Limpieza dental,Facebook,Mensaje FB,13,24,0,0,0
Lead 85,lead85@mail.com,924573458,Endodoncia,Facebook,Mensaje FB,15,21,0,0,1
Lead 86,lead86@mail.com,956977874,Endodoncia,Facebook,Comentario FB,18,8,0,1,0
Lead 87,lead87@mail.com,979872506,Endodoncia,Instagram,Historia,16,14,0,0,0
Lead 88,lead88@mail.com,933614649,Implantes,WhatsApp,Mensaje directo,11,3,1,0,1
Lead 89,lead89@mail.com,940773482,Endodoncia,Instagram,Historia,13,13,0,0,0
Lead 90,lead90@mail.com,941665404,Evaluación general,Instagram,Comentario IG,17,17,1,0,0
Lead 91,lead91@mail.com,982571674,Evaluación general,Facebook,Mensaje FB,12,6,0,0,0
Lead 92,lead92@mail.com,993273068,Limpieza dental,WhatsApp,Mensaje directo,16,1,0,0,0
Lead 93,lead93@mail.com,924509187,Ortodoncia,Facebook,Mensaje FB,7,21,1,1,0
Lead 94,lead94@mail.com,985524262,Ortodoncia,Otro,Anuncio Google,10,5,1,0,0
Lead 95,lead95@mail.com,958763532,Limpieza dental,Facebook,Comentario FB,17,9,1,0,0
Lead 96,lead96@mail.com,954196734,Endodoncia,Facebook,Formulario FB,8,27,0,0,0
Lead 97,lead97@mail.com,948503931,Evaluación general,WhatsApp,Grupo de ofertas,15,6,1,0,0
Lead 98,lead98@mail.com,962203051,Implantes,WhatsApp,Grupo de ofertas,7,24,1,0,0
Lead 99,lead99@mail.com,965257851,Endodoncia,Instagram,Comentario IG,19,12,0,1,1
Lead 100,lead100@mail.com,928892008,Ortodoncia,Facebook,Mensaje FB,11,3,0,1,0
Lead 101,lead101@mail.com,949521538,Endodoncia,Instagram,Historia,7,13,0,1,0
Lead 102,lead102@mail.com,975557447,Limpieza dental,Otro,Landing page,22,22,0,0,0
Lead 103,lead103@mail.com,966987271,Ortodoncia,TikTok,DM TikTok,12,11,0,0,1
Lead 104,lead104@mail.com,984993343,Endodoncia,TikTok,DM TikTok,16,27,0,0,0
Lead 105,lead105@mail.com,948791628,Evaluación general,Otro,Anuncio Google,17,21,0,0,0
Lead 106,lead106@mail.com,962827729,Endodoncia,Facebook,Comentario FB,18,15,0,1,0
Lead 107,lead107@mail.com,997350522,Limpieza dental,WhatsApp,Mensaje directo,9,4,0,0,0
Lead 108,lead108@mail.com,989569119,Evaluación general,TikTok,Live,19,4,0,0,0
Lead 109,lead109@mail.com,981572282,Endodoncia,Facebook,Comentario FB,21,16,0,0,0
Lead 110,lead110@mail.com,968720660,Evaluación general,Instagram,Inbox IG,17,16,1,0,0
Lead 111,lead111@mail.com,939702914,Implantes,Facebook,Formulario FB,22,22,1,1,0
Lead 112,lead112@mail.com,966024141,Evaluación general,Otro,Landing page,11,22,1,1,0
Lead 113,lead113@mail.com,923832640,Endodoncia,TikTok,DM TikTok,15,13,0,0,0
Lead 114,lead114@mail.com,975812633,Blanqueamiento,TikTok,DM TikTok,7,7,0,0,1
Lead 115,lead115@mail.com,926689088,Limpieza dental,Instagram,Comentario IG,16,1,0,1,1
Lead 116,lead116@mail.com,948720111,Endodoncia,TikTok,Live,12,11,0,1,1
Lead 117,lead117@mail.com,958840101,Blanqueamiento,Instagram,Inbox IG,21,14,0,0,0
Lead 118,lead118@mail.com,942843745,Ortodoncia,WhatsApp,Grupo de ofertas,22,27,1,0,0
Lead 119,lead119@mail.com,989945266,Ortodoncia,Facebook,Comentario FB,10,24,0,0,0
Lead 120,lead120@mail.com,991251088,Limpieza dental,Otro,Landing page,7,4,1,0,0
Lead 121,lead121@mail.com,979800140,Ortodoncia,Facebook,Formulario FB,18,19,0,1,1
Lead 122,lead122@mail.com,923081782,Ortodoncia,WhatsApp,Mensaje directo,20,10,0,0,0
Lead 123,lead123@mail.com,918234679,Evaluación general,Facebook,Formulario FB,22,10,0,0,1
Lead 124,lead124@mail.com,945156028,Ortodoncia,Facebook,Comentario FB,15,2,1,0,0
Lead 125,lead125@mail.com,999165628,Ortodoncia,Otro,Landing page,16,18,0,0,0
Lead 126,lead126@mail.com,992537517,Evaluación general,TikTok,Live,12,20,0,0,0
Lead 127,lead127@mail.com,987998328,Ortodoncia,WhatsApp,Mensaje directo,8,16,0,0,1
Lead 128,lead128@mail.com,919818159,Blanqueamiento,Instagram,Comentario IG,21,24,0,0,1
Lead 129,lead129@mail.com,985191987,Blanqueamiento,TikTok,Live,19,16,0,1,0
Lead 130,lead130@mail.com,910067661,Blanqueamiento,TikTok,DM TikTok,21,14,0,0,0
Lead 131,lead131@mail.com,996787694,Limpieza dental,Instagram,Comentario IG,14,1,1,0,1
Lead 132,lead132@mail.com,954653349,Implantes,Otro,Landing page,13,13,1,0,0
Lead 133,lead133@mail.com,996205129,Evaluación general,Facebook,Mensaje FB,9,18,0,0,0
Lead 134,lead134@mail.com,972132760,Evaluación general,TikTok,DM TikTok,13,24,1,0,0
Lead 135,lead135@mail.com,956523537,Evaluación general,Instagram,Comentario IG,7,12,0,0,0
Lead 136,lead136@mail.com,918411883,Limpieza dental,Facebook,Formulario FB,21,3,0,0,0
Lead 137,lead137@mail.com,945555041,Implantes,Instagram,Historia,9,9,0,0,0
Lead 138,lead138@mail.com,942359860,Ortodoncia,Facebook,Mensaje FB,17,23,0,0,0
Lead 139,lead139@mail.com,926514877,Endodoncia,Facebook,Formulario FB,12,20,0,0,1
Lead 140,lead140@mail.com,927810471,Limpieza dental,Otro,Anuncio Google,20,23,1,0,0
Lead 141,lead141@mail.com,957870026,Implantes,Facebook,Comentario FB,11,3,1,1,1
Lead 142,lead142@mail.com,963228466,Blanqueamiento,WhatsApp,Grupo de ofertas,10,14,1,0,1
Lead 143,lead143@mail.com,993721515,Ortodoncia,TikTok,Live,20,24,1,0,0
Lead 144,lead144@mail.com,985149843,Limpieza dental,Otro,Landing page,11,5,1,0,1
Lead 145,lead145@mail.com,990480036,Limpieza dental,Otro,Anuncio Google,7,11,0,0,0
Lead 146,lead146@mail.com,982017911,Ortodoncia,Instagram,Inbox IG,20,10,1,0,0
Lead 147,lead147@mail.com,929931456,Blanqueamiento,Otro,Landing page,16,4,0,1,1
Lead 148,lead148@mail.com,963050917,Implantes,Instagram,Comentario IG,21,4,0,0,0
Lead 149,lead149@mail.com,919742257,Blanqueamiento,Facebook,Comentario FB,13,2,0,1,0
Lead 150,lead150@mail.com,927163810,Limpieza dental,Instagram,Comentario IG,20,20,1,1,1
Lead 151,lead151@mail.com,976318090,Evaluación general,WhatsApp,Grupo de ofertas,7,7,1,0,0
Lead 152,lead152@mail.com,918910852,Ortodoncia,Instagram,Inbox IG,15,4,0,0,1
Lead 153,lead153@mail.com,984926168,Endodoncia,TikTok,DM TikTok,9,26,0,1,1
Lead 154,lead154@mail.com,996448549,Implantes,WhatsApp,Grupo de ofertas,8,7,0,0,0
Lead 155,lead155@mail.com,980790126,Endodoncia,Facebook,Mensaje FB,7,22,0,0,0
Lead 156,lead156@mail.com,920016389,Evaluación general,TikTok,Live,13,1,0,1,0
Lead 157,lead157@mail.com,925586926,Blanqueamiento,WhatsApp,Grupo de ofertas,9,6,1,0,1
Lead 158,lead158@mail.com,920321336,Implantes,Otro,Landing page,19,0,0,1,0
Lead 159,lead159@mail.com,941738453,Implantes,WhatsApp,Grupo de ofertas,7,28,0,0,1
Lead 160,lead160@mail.com,932468492,Blanqueamiento,Instagram,Historia,8,9,0,0,1
Lead 161,lead161@mail.com,978914332,Implantes,Otro,Anuncio Google,21,14,1,0,1
Lead 162,lead162@mail.com,962411802,Blanqueamiento,Instagram,Historia,14,4,0,0,0
Lead 163,lead163@mail.com,918357956,Endodoncia,Instagram,Historia,21,18,0,0,1
Lead 164,lead164@mail.com,984504214,Limpieza dental,Otro,Landing page,10,10,1,0,1
Lead 165,lead165@mail.com,935291709,Limpieza dental,Instagram,Comentario IG,21,25,1,0,0
Lead 166,lead166@mail.com,946346859,Implantes,Facebook,Formulario FB,8,24,0,0,0
Lead 167,lead167@mail.com,969220571,Implantes,Instagram,Inbox IG,10,15,0,1,0
Lead 168,lead168@mail.com,992972373,Implantes,TikTok,Live,21,25,0,0,1
Lead 169,lead169@mail.com,972671672,Blanqueamiento,TikTok,DM TikTok,17,22,0,0,1
Lead 170,lead170@mail.com,987652169,Endodoncia,Otro,Anuncio Google,7,21,0,0,0
Lead 171,lead171@mail.com,936395160,Ortodoncia,Instagram,Inbox IG,10,24,0,0,0
Lead 172,lead172@mail.com,962418906,Endodoncia,Instagram,Comentario IG,16,10,1,0,0
Lead 173,lead173@mail.com,974991256,Implantes,Facebook,Comentario FB,7,10,0,1,1
Lead 174,lead174@mail.com,987688894,Blanqueamiento,Instagram,Comentario IG,13,19,0,1,1
Lead 175,lead175@mail.com,939168464,Blanqueamiento,Otro,Anuncio Google,17,21,0,0,0
Lead 176,lead176@mail.com,919427504,Limpieza dental,TikTok,Live,10,8,0,0,1
Lead 177,lead177@mail.com,989594423,Blanqueamiento,TikTok,Live,13,0,0,0,0
Lead 178,lead178@mail.com,924246173,Evaluación general,Facebook,Comentario FB,9,29,0,0,1
Lead 179,lead179@mail.com,923769205,Limpieza dental,Facebook,Comentario FB,22,7,0,0,0
Lead 180,lead180@mail.com,987462428,Evaluación general,Instagram,Historia,18,16,0,0,1
Lead 181,lead181@mail.com,920669435,Implantes,Instagram,Comentario IG,13,6,1,0,0
Lead 182,lead182@mail.com,917449607,Implantes,TikTok,Live,7,22,1,1,0
Lead 183,lead183@mail.com,994656124,Ortodoncia,Facebook,Mensaje FB,7,24,0,0,0
Lead 184,lead184@mail.com,993463150,Endodoncia,TikTok,DM TikTok,14,21,0,0,0
Lead 185,lead185@mail.com,986106218,Blanqueamiento,Facebook,Mensaje FB,14,1,1,1,0
Lead 186,lead186@mail.com,959349430,Limpieza dental,Instagram,Comentario IG,22,3,1,0,0
Lead 187,lead187@mail.com,916202258,Implantes,Instagram,Comentario IG,22,17,0,0,0
Lead 188,lead188@mail.com,950473321,Endodoncia,TikTok,DM TikTok,10,28,0,1,0
Lead 189,lead189@mail.com,916193956,Evaluación general,Facebook,Formulario FB,21,1,0,0,0
Lead 190,lead190@mail.com,934899065,Blanqueamiento,Facebook,Mensaje FB,12,29,0,1,1
Lead 191,lead191@mail.com,993976173,Ortodoncia,TikTok,DM TikTok,12,11,0,1,0
Lead 192,lead192@mail.com,958730049,Blanqueamiento,Facebook,Mensaje FB,13,16,0,0,0
Lead 193,lead193@mail.com,977225603,Blanqueamiento,TikTok,DM TikTok,19,24,0,0,0
Lead 194,lead194@mail.com,953309893,Implantes,Otro,Landing page,16,25,1,0,0
Lead 195,lead195@mail.com,984052985,Endodoncia,TikTok,DM TikTok,8,20,1,0,1
Lead 196,lead196@mail.com,980860062,Endodoncia,Otro,Anuncio Google,18,22,0,0,1
Lead 197,lead197@mail.com,992125254,Ortodoncia,Otro,Landing page,12,26,0,0,0
Lead 198,lead198@mail.com,977800621,Ortodoncia,Otro,Landing page,16,12,1,0,0
Lead 199,lead199@mail.com,950381731,Blanqueamiento,WhatsApp,Mensaje directo,22,1,0,0,1
Lead 200,lead200@mail.com,949787171,Limpieza dental,TikTok,Live,9,25,0,1,1
Lead 201,lead201@mail.com,941873646,Implantes,WhatsApp,Mensaje directo,7,26,0,0,0
Lead 202,lead202@mail.com,946905710,Endodoncia,TikTok,DM TikTok,14,21,0,0,0
Lead 203,lead203@mail.com,923283692,Evaluación general,Instagram,Comentario IG,10,18,0,0,0
Lead 204,lead204@mail.com,943458471,Limpieza dental,TikTok,Live,17,1,0,0,0
Lead 205,lead205@mail.com,967696034,Ortodoncia,Facebook,Formulario FB,7,0,0,0,0
Lead 206,lead206@mail.com,950131083,Limpieza dental,TikTok,Live,9,17,1,0,1
Lead 207,lead207@mail.com,964706505,Evaluación general,TikTok,Live,9,4,0,1,1
Lead 208,lead208@mail.com,946045138,Blanqueamiento,Facebook,Mensaje FB,15,22,0,0,0
Lead 209,lead209@mail.com,960795719,Endodoncia,Otro,Landing page,14,20,1,0,0
Lead 210,lead210@mail.com,938172140,Blanqueamiento,WhatsApp,Mensaje directo,15,17,0,0,0
Lead 211,lead211@mail.com,933387092,Blanqueamiento,WhatsApp,Mensaje directo,16,14,0,0,0
Lead 212,lead212@mail.com,931900146,Endodoncia,TikTok,DM TikTok,12,25,0,0,0
Lead 213,lead213@mail.com,988566365,Implantes,TikTok,DM TikTok,22,7,1,1,1
Lead 214,lead214@mail.com,920822814,Blanqueamiento,Otro,Anuncio Google,10,6,0,0,0
Lead 215,lead215@mail.com,925170521,Evaluación general,WhatsApp,Mensaje directo,14,2,0,0,0
Lead 216,lead216@mail.com,950686940,Limpieza dental,TikTok,DM TikTok,13,22,0,0,0
Lead 217,lead217@mail.com,917152747,Blanqueamiento,Facebook,Formulario FB,12,24,1,0,0
Lead 218,lead218@mail.com,948499601,Evaluación general,Facebook,Formulario FB,20,1,0,1,1
Lead 219,lead219@mail.com,937259197,Implantes,TikTok,DM TikTok,22,2,0,0,1
Lead 220,lead220@mail.com,988483721,Endodoncia,TikTok,DM TikTok,11,11,0,1,0
Lead 221,lead221@mail.com,924372528,Endodoncia,Otro,Landing page,20,24,0,0,0
Lead 222,lead222@mail.com,973813565,Ortodoncia,Instagram,Inbox IG,9,12,0,0,0
Lead 223,lead223@mail.com,977506574,Endodoncia,Instagram,Historia,11,24,0,1,1
Lead 224,lead224@mail.com,931882940,Implantes,Instagram,Comentario IG,7,24,0,0,0
Lead 225,lead225@mail.com,940272855,Endodoncia,Otro,Landing page,11,10,0,1,0
Lead 226,lead226@mail.com,965498298,Endodoncia,TikTok,Live,17,29,0,0,0
Lead 227,lead227@mail.com,961195209,Endodoncia,WhatsApp,Grupo de ofertas,14,19,1,0,0
Lead 228,lead228@mail.com,968865527,Limpieza dental,Facebook,Comentario FB,17,1,0,0,0
Lead 229,lead229@mail.com,925135763,Evaluación general,TikTok,Live,12,4,0,1,0
Lead 230,lead230@mail.com,946595773,Limpieza dental,TikTok,Live,16,16,0,0,0
Lead 231,lead231@mail.com,934586222,Blanqueamiento,TikTok,DM TikTok,7,23,1,0,0
Lead 232,lead232@mail.com,979448631,Endodoncia,TikTok,Live,15,8,1,1,1
Lead 233,lead233@mail.com,988931275,Blanqueamiento,Facebook,Formulario FB,9,26,0,1,0
Lead 234,lead234@mail.com,910605409,Blanqueamiento,WhatsApp,Grupo de ofertas,16,8,0,1,0
Lead 235,lead235@mail.com,915809041,Blanqueamiento,TikTok,Live,14,27,0,0,0
Lead 236,lead236@mail.com,942027216,Ortodoncia,TikTok,Live,12,4,0,0,1
Lead 237,lead237@mail.com,947877058,Ortodoncia,Instagram,Inbox IG,8,7,1,0,0
Lead 238,lead238@mail.com,925590661,Blanqueamiento,Otro,Anuncio Google,14,7,0,0,0
Lead 239,lead239@mail.com,927824559,Blanqueamiento,Facebook,Formulario FB,14,18,1,0,1
Lead 240,lead240@mail.com,959352346,Implantes,Facebook,Formulario FB,15,12,1,0,0
Lead 241,lead241@mail.com,927486878,Implantes,Facebook,Formulario FB,12,27,0,1,0
Lead 242,lead242@mail.com,929369886,Endodoncia,TikTok,Live,13,9,0,0,0
Lead 243,lead243@mail.com,934192961,Evaluación general,TikTok,Live,8,3,0,0,0
Lead 244,lead244@mail.com,952106078,Endodoncia,TikTok,Live,22,12,0,1,0
Lead 245,lead245@mail.com,918989138,Implantes,WhatsApp,Mensaje directo,8,27,0,1,1
Lead 246,lead246@mail.com,942735803,Implantes,Facebook,Mensaje FB,20,6,0,1,1
Lead 247,lead247@mail.com,999567715,Endodoncia,Facebook,Formulario FB,21,29,1,0,1
Lead 248,lead248@mail.com,994483977,Ortodoncia,Otro,Anuncio Google,8,3,0,0,1
Lead 249,lead249@mail.com,930353727,Endodoncia,WhatsApp,Mensaje directo,12,0,0,0,0
Lead 250,lead250@mail.com,946989387,Blanqueamiento,Facebook,Mensaje FB,21,28,0,0,0
Lead 251,lead251@mail.com,997649202,Ortodoncia,Instagram,Comentario IG,13,28,0,0,0
Lead 252,lead252@mail.com,939221379,Ortodoncia,Otro,Landing page,17,25,0,0,0
Lead 253,lead253@mail.com,936552476,Ortodoncia,Otro,Landing page,7,2,0,0,0
Lead 254,lead254@mail.com,937209162,Evaluación general,TikTok,Live,17,19,1,0,1
Lead 255,lead255@mail.com,936267668,Endodoncia,Facebook,Comentario FB,17,2,1,0,0
Lead 256,lead256@mail.com,930610500,Endodoncia,WhatsApp,Mensaje directo,21,15,1,1,0
Lead 257,lead257@mail.com,965229602,Limpieza dental,Facebook,Comentario FB,9,26,0,1,1
Lead 258,lead258@mail.com,929155151,Limpieza dental,Otro,Landing page,22,16,0,0,0
Lead 259,lead259@mail.com,999858638,Endodoncia,TikTok,DM TikTok,17,7,0,0,1
Lead 260,lead260@mail.com,965482283,Endodoncia,Instagram,Comentario IG,17,13,0,0,0
Lead 261,lead261@mail.com,964856856,Ortodoncia,Facebook,Formulario FB,11,23,1,0,0
Lead 262,lead262@mail.com,965940773,Ortodoncia,Otro,Landing page,20,13,0,0,1
Lead 263,lead263@mail.com,980047063,Ortodoncia,TikTok,Live,22,24,0,0,0
Lead 264,lead264@mail.com,985134271,Ortodoncia,Facebook,Comentario FB,14,10,1,0,0
Lead 265,lead265@mail.com,940319320,Blanqueamiento,Facebook,Mensaje FB,8,13,1,0,0
Lead 266,lead266@mail.com,958018519,Ortodoncia,TikTok,DM TikTok,7,27,1,0,0
Lead 267,lead267@mail.com,968438965,Limpieza dental,TikTok,Live,15,16,0,0,1
Lead 268,lead268@mail.com,969963387,Implantes,Instagram,Comentario IG,12,27,1,0,1
Lead 269,lead269@mail.com,961599948,Ortodoncia,TikTok,Live,7,1,0,1,1
Lead 270,lead270@mail.com,918439469,Limpieza dental,TikTok,DM TikTok,10,25,0,0,0
Lead 271,lead271@mail.com,970344167,Blanqueamiento,TikTok,Live,16,17,1,0,0
Lead 272,lead272@mail.com,998997222,Limpieza dental,WhatsApp,Mensaje directo,17,28,1,0,0
Lead 273,lead273@mail.com,997952701,Limpieza dental,Otro,Landing page,21,8,1,1,0
Lead 274,lead274@mail.com,980189955,Ortodoncia,WhatsApp,Grupo de ofertas,10,29,0,0,0
Lead 275,lead275@mail.com,943283771,Implantes,Otro,Landing page,12,25,1,0,1
Lead 276,lead276@mail.com,924150540,Limpieza dental,Otro,Anuncio Google,16,13,0,0,0
Lead 277,lead277@mail.com,946286070,Ortodoncia,Facebook,Formulario FB,15,12,0,0,0
Lead 278,lead278@mail.com,951681557,Ortodoncia,Otro,Landing page,11,22,0,0,1
Lead 279,lead279@mail.com,917778748,Evaluación general,Otro,Landing page,11,23,1,0,1
Lead 280,lead280@mail.com,946159646,Limpieza dental,WhatsApp,Mensaje directo,19,21,0,0,0
Lead 281,lead281@mail.com,986123517,Limpieza dental,Instagram,Comentario IG,16,28,1,0,0
Lead 282,lead282@mail.com,914790691,Limpieza dental,Facebook,Mensaje FB,10,27,0,1,0
Lead 283,lead283@mail.com,960277283,Endodoncia,Facebook,Comentario FB,16,20,0,0,0
Lead 284,lead284@mail.com,947998210,Blanqueamiento,TikTok,Live,12,6,0,0,0
Lead 285,lead285@mail.com,921950831,Ortodoncia,WhatsApp,Grupo de ofertas,19,17,0,0,1
Lead 286,lead286@mail.com,939124900,Implantes,TikTok,DM TikTok,20,22,0,0,0
Lead 287,lead287@mail.com,943523310,Evaluación general,TikTok,Live,11,5,0,0,0
Lead 288,lead288@mail.com,979069690,Blanqueamiento,Facebook,Mensaje FB,20,23,0,0,1
