servicio,canal,canal_origen,urgencia,mensaje_largo,referido,tratamiento_prev,interes_activo,es_mañana,dias_recientes,hora_contacto,dias_desde_contacto,nombre,correo,telefono
Ortodoncia,Otro,Google Ads,Alta,1,1,1,1,1,0,9,6,Elena Mendoza Silva,elena36@outlook.com,+51 997215145
Limpieza dental,Otro,Recomendación,Media,1,0,1,0,0,0,19,7,Lucía Morales Gómez,lucía58@hotmail.com,+51 991496049
Carillas,Instagram,Recomendación,Media,0,0,0,0,0,1,8,5,Pedro Cruz Ruiz,pedro78@yahoo.es,+51 968079574
Carillas,Otro,Google Ads,Alta,1,0,0,1,1,0,7,10,Fernando Gómez Castro,fernando11@gmail.com,+51 946083655
Blanqueamiento,Facebook,Recomendación,Baja,1,0,1,0,1,0,21,10,Renzo Mendoza Chávez,renzo51@yahoo.es,+51 948903758
Ortodoncia,WhatsApp,Google Ads,Media,1,1,0,0,1,0,18,7,Carmen Vásquez Chávez,carmen33@outlook.com,+51 921081279
Blanqueamiento,WhatsApp,Google Ads,Media,0,1,1,1,0,0,14,8,Fiorella Ruiz Rojas,fiorella84@hotmail.com,+51 953046487
Blanqueamiento,Otro,Llamada directa,Media,0,0,0,1,0,1,20,2,José Torres Torres,josé33@yahoo.es,+51 984266724
Revisión general,Facebook,Llamada directa,Media,0,0,1,0,0,0,12,5,Fernando Vásquez Gómez,fernando82@gmail.com,+51 914037507
Revisión general,Facebook,Google Ads,Alta,0,1,1,1,0,1,18,1,Andrea Ramírez Castro,andrea80@yahoo.es,+51 943968738
Extracción,Instagram,Llamada directa,Media,0,1,1,1,1,1,13,5,Rosa Sánchez Morales,rosa26@gmail.com,+51 976069629
Carillas,WhatsApp,Página web,Alta,1,0,0,1,0,0,16,4,Andrea Torres Castro,andrea37@outlook.com,+51 921311497
Carillas,Otro,Página web,Media,0,0,1,1,0,0,14,5,Luis Cruz Cruz,luis88@yahoo.es,+51 967941754
Implantes,Otro,Página web,Alta,1,1,1,1,0,0,8,3,Rosa Rojas Rojas,rosa13@yahoo.es,+51 956836720
Revisión general,WhatsApp,Llamada directa,Media,1,1,0,0,1,0,12,4,María Herrera Gómez,maría33@yahoo.es,+51 938051894
Implantes,WhatsApp,Página web,Baja,1,0,0,1,0,0,13,6,Miguel Quispe Martínez,miguel77@hotmail.com,+51 924107898
Carillas,WhatsApp,Google Ads,Media,1,1,0,1,0,0,15,2,Fernando Quispe Martínez,fernando72@hotmail.com,+51 974568839
Carillas,WhatsApp,Recomendación,Alta,1,0,1,0,0,1,14,5,Fernando Silva Martínez,fernando84@hotmail.com,+51 929265787
Revisión general,Otro,Llamada directa,Alta,1,1,0,1,0,0,7,6,Lucía Martínez Vásquez,lucía86@yahoo.es,+51 989369466
Carillas,Facebook,Página web,Baja,0,0,0,0,0,0,11,4,Renzo Rodríguez Vásquez,renzo38@yahoo.es,+51 935640338
Extracción,WhatsApp,Google Ads,Baja,0,1,0,1,1,0,19,1,Diana Morales Rojas,diana74@outlook.com,+51 934989491
Ortodoncia,Facebook,Llamada directa,Alta,0,0,1,1,0,0,13,5,Jorge Castro Morales,jorge60@yahoo.es,+51 976976602
Limpieza dental,Facebook,Recomendación,Media,1,1,1,1,1,0,9,8,Elena Quispe García,elena78@hotmail.com,+51 978196476
Cirugía oral,Otro,Página web,Alta,1,1,0,1,1,0,18,6,Rosa Martínez Silva,rosa43@gmail.com,+51 934803401
Revisión general,Facebook,Página web,Media,0,1,1,1,0,1,13,3,Diana Gómez Morales,diana84@yahoo.es,+51 993972924
Implantes,WhatsApp,Google Ads,Alta,1,0,0,0,1,0,18,3,Miguel Mendoza Gómez,miguel40@outlook.com,+51 936215141
Limpieza dental,Facebook,Página web,Alta,1,1,0,1,1,0,11,3,Lucía Torres Ruiz,lucía58@hotmail.com,+51 948818208
Limpieza dental,WhatsApp,Recomendación,Alta,0,0,0,1,0,0,11,1,Diana Chávez Torres,diana30@hotmail.com,+51 977737762
Revisión general,Instagram,Página web,Media,0,1,0,1,0,0,11,11,Diana Silva Chávez,diana84@yahoo.es,+51 940879725
Revisión general,WhatsApp,Página web,Baja,1,0,1,1,0,1,15,6,Carlos Vásquez Gómez,carlos30@yahoo.es,+51 998301446
Cirugía oral,Otro,Llamada directa,Alta,0,1,1,1,0,1,22,8,Pedro Vásquez Torres,pedro55@yahoo.es,+51 923070193
Implantes,Facebook,Llamada directa,Media,0,0,0,0,0,1,12,5,María Mendoza Silva,maría30@yahoo.es,+51 937326587
Revisión general,Facebook,Recomendación,Media,0,0,0,0,1,0,15,1,Pedro García Cruz,pedro40@gmail.com,+51 976673833
Extracción,Instagram,Llamada directa,Media,0,1,1,1,0,1,22,7,Raúl Flores Martínez,raúl47@outlook.com,+51 998661537
Endodoncia,Instagram,Recomendación,Alta,1,1,1,1,1,0,14,10,Diana Pérez Rojas,diana29@hotmail.com,+51 989054972
Blanqueamiento,WhatsApp,Recomendación,Baja,0,0,1,0,0,0,10,2,Carmen Mendoza Gómez,carmen27@hotmail.com,+51 987415058
Limpieza dental,WhatsApp,Google Ads,Alta,1,1,0,0,1,1,14,0,Jessica Rodríguez Ramírez,jessica70@yahoo.es,+51 984415048
Ortodoncia,WhatsApp,Google Ads,Media,1,0,1,1,0,1,15,6,Jorge García Quispe,jorge78@outlook.com,+51 949687013
Endodoncia,Otro,Llamada directa,Media,1,1,1,1,0,1,10,11,Renzo Flores García,renzo51@gmail.com,+51 924846823
Blanqueamiento,Instagram,Recomendación,Media,1,0,1,0,0,1,12,5,Raúl Vásquez Silva,raúl67@yahoo.es,+51 959539677
Limpieza dental,WhatsApp,Google Ads,Alta,0,0,0,0,0,0,11,3,Diana Mendoza Chávez,diana44@gmail.com,+51 924298535
Extracción,Instagram,Google Ads,Baja,0,0,1,1,1,0,22,9,Fernando Torres Pérez,fernando32@yahoo.es,+51 977780927
Blanqueamiento,Instagram,Llamada directa,Alta,0,0,1,1,0,0,9,4,Jorge García Rodríguez,jorge27@gmail.com,+51 986495756
Extracción,Facebook,Página web,Media,1,0,1,1,1,1,12,3,Jorge Gómez Morales,jorge60@gmail.com,+51 927369786
Implantes,Instagram,Google Ads,Alta,1,1,0,1,0,0,8,7,Fiorella Herrera Castro,fiorella93@hotmail.com,+51 947358102
Blanqueamiento,Instagram,Página web,Media,0,1,1,0,0,0,11,8,Miguel Silva Martínez,miguel17@yahoo.es,+51 923573164
Endodoncia,Instagram,Llamada directa,Alta,0,1,1,1,0,0,13,0,Elena Cruz Flores,elena95@yahoo.es,+51 944847808
Cirugía oral,Otro,Página web,Alta,0,1,1,0,1,0,16,6,Fernando Herrera Rojas,fernando35@outlook.com,+51 994243386
Extracción,WhatsApp,Llamada directa,Media,0,1,1,0,1,0,17,2,Pedro Flores Sánchez,pedro44@gmail.com,+51 935901912
Blanqueamiento,Instagram,Llamada directa,Media,0,0,0,0,0,0,12,2,Carlos Vásquez García,carlos73@hotmail.com,+51 995264180
Ortodoncia,Otro,Página web,Alta,1,1,1,0,0,0,16,7,Carmen Martínez Torres,carmen10@hotmail.com,+51 964875269
Limpieza dental,Instagram,Página web,Media,0,1,0,0,0,0,6,4,María Herrera Rodríguez,maría18@gmail.com,+51 913028909
Blanqueamiento,Instagram,Recomendación,Media,0,0,0,1,0,1,15,2,Luis Rodríguez Martínez,luis23@gmail.com,+51 979282018
Ortodoncia,Facebook,Llamada directa,Alta,0,0,0,0,0,0,12,8,Rosa Martínez García,rosa75@yahoo.es,+51 920653393
Revisión general,WhatsApp,Google Ads,Baja,0,1,0,0,0,1,13,7,Andrea Rojas Castro,andrea79@gmail.com,+51 942792612
Ortodoncia,Otro,Llamada directa,Alta,1,1,1,1,0,1,18,5,Rosa Torres Torres,rosa59@gmail.com,+51 964404083
Ortodoncia,WhatsApp,Llamada directa,Media,0,1,0,0,0,1,13,3,Raúl Cruz Gómez,raúl17@yahoo.es,+51 920906134
Cirugía oral,Instagram,Llamada directa,Media,0,1,1,1,1,0,17,3,Carmen Vásquez García,carmen78@outlook.com,+51 938460061
Cirugía oral,WhatsApp,Llamada directa,Media,1,0,1,0,0,0,7,0,Andrea Vásquez Ruiz,andrea25@hotmail.com,+51 968893658
Blanqueamiento,WhatsApp,Recomendación,Baja,0,0,0,1,0,1,15,10,Fernando García Rodríguez,fernando17@yahoo.es,+51 936041112
Implantes,Otro,Google Ads,Media,1,0,1,1,1,0,20,6,Ana Gómez Cruz,ana87@gmail.com,+51 991825557
Blanqueamiento,Facebook,Google Ads,Baja,1,0,1,1,1,0,13,2,Jessica Flores Silva,jessica57@hotmail.com,+51 984473511
Extracción,Facebook,Google Ads,Media,0,0,0,0,0,1,10,11,Renzo Sánchez Gómez,renzo76@yahoo.es,+51 930592510
Endodoncia,WhatsApp,Página web,Media,0,0,0,1,0,0,17,4,Carlos Morales Castro,carlos43@hotmail.com,+51 948726666
Ortodoncia,Facebook,Página web,Media,1,1,0,0,0,0,17,7,Lucía Chávez Sánchez,lucía88@outlook.com,+51 926575001
Cirugía oral,Otro,Página web,Alta,0,1,0,1,1,1,16,3,Pedro Ramírez Quispe,pedro44@gmail.com,+51 916963503
Carillas,WhatsApp,Recomendación,Media,0,0,1,1,0,1,6,5,María Flores Gómez,maría98@hotmail.com,+51 999668807
Implantes,Instagram,Google Ads,Media,1,0,0,1,0,0,12,5,José Sánchez Gómez,josé93@hotmail.com,+51 926677550
Extracción,WhatsApp,Google Ads,Baja,0,0,0,0,1,0,11,6,Pedro Ruiz Quispe,pedro73@hotmail.com,+51 923017202
Ortodoncia,Facebook,Recomendación,Baja,0,0,0,0,0,1,13,8,Renzo Flores Gómez,renzo21@outlook.com,+51 974580498
Implantes,Facebook,Llamada directa,Alta,1,1,0,0,0,0,10,4,María Quispe Silva,maría16@gmail.com,+51 990242303
Ortodoncia,Facebook,Recomendación,Baja,1,1,1,1,1,1,16,5,Raúl Sánchez Ramírez,raúl26@gmail.com,+51 976919356
Limpieza dental,Instagram,Página web,Media,1,0,0,1,0,0,15,10,Diana Vásquez Chávez,diana97@gmail.com,+51 938802648
Endodoncia,Otro,Recomendación,Alta,0,0,1,0,0,1,22,6,Jessica Silva Rojas,jessica53@hotmail.com,+51 980416154
Implantes,WhatsApp,Página web,Media,1,1,0,1,0,0,16,5,María Rojas Silva,maría38@yahoo.es,+51 935620050
Carillas,Instagram,Recomendación,Baja,0,1,1,0,0,0,11,8,Miguel Mendoza Quispe,miguel61@yahoo.es,+51 912142454
Implantes,WhatsApp,Recomendación,Alta,0,1,1,1,0,1,12,4,Rosa Torres Silva,rosa42@outlook.com,+51 970225909
Carillas,Facebook,Google Ads,Baja,0,1,1,0,1,0,19,4,Jorge Rodríguez Rodríguez,jorge36@outlook.com,+51 940745602
Endodoncia,Facebook,Recomendación,Alta,0,1,1,1,0,1,6,6,Fernando Vásquez Herrera,fernando99@hotmail.com,+51 918246821
Cirugía oral,WhatsApp,Llamada directa,Media,1,1,0,1,0,1,10,5,Carmen Cruz Rodríguez,carmen26@yahoo.es,+51 978411189
Revisión general,WhatsApp,Recomendación,Alta,0,1,0,1,0,1,16,4,José Ramírez Morales,josé87@outlook.com,+51 992664581
Limpieza dental,Otro,Llamada directa,Media,0,1,1,1,0,0,17,6,Lucía Quispe Silva,lucía97@hotmail.com,+51 938721722
Limpieza dental,WhatsApp,Recomendación,Alta,0,1,0,1,0,0,14,0,María Ramírez Silva,maría59@yahoo.es,+51 953814049
Ortodoncia,WhatsApp,Google Ads,Media,0,0,0,1,0,1,13,3,Jorge Sánchez Rodríguez,jorge90@gmail.com,+51 933715064
Blanqueamiento,Facebook,Página web,Media,1,0,1,1,0,1,12,1,Lucía Quispe Rojas,lucía35@gmail.com,+51 927711484
Cirugía oral,WhatsApp,Llamada directa,Media,1,1,0,1,0,1,11,1,Andrea Vásquez Torres,andrea61@yahoo.es,+51 959022849
Revisión general,WhatsApp,Recomendación,Media,1,1,1,0,0,0,13,0,Jorge Ramírez Herrera,jorge53@outlook.com,+51 981224204
Extracción,Otro,Página web,Media,1,1,0,0,0,0,21,5,Pedro Herrera García,pedro72@outlook.com,+51 987551561
Revisión general,Otro,Página web,Alta,0,1,0,1,0,0,5,3,Luis Vásquez Silva,luis29@outlook.com,+51 977930331
Extracción,Facebook,Recomendación,Alta,1,1,1,1,0,1,10,6,Carlos Morales Sánchez,carlos86@hotmail.com,+51 994451400
Ortodoncia,Otro,Página web,Media,0,1,0,1,0,1,21,6,Luis Cruz Cruz,luis16@gmail.com,+51 987014955
Revisión general,Facebook,Llamada directa,Media,1,1,0,0,0,1,18,9,Jorge Flores Sánchez,jorge58@hotmail.com,+51 981137644
Revisión general,Facebook,Llamada directa,Media,1,0,0,1,0,0,9,3,Lucía Silva Martínez,lucía92@yahoo.es,+51 968807275
Carillas,Facebook,Llamada directa,Baja,0,0,1,1,0,0,13,6,María Sánchez Ruiz,maría59@outlook.com,+51 912096127
Blanqueamiento,WhatsApp,Llamada directa,Baja,0,0,0,1,0,0,17,4,Carlos Silva Pérez,carlos72@hotmail.com,+51 983910006
Extracción,Instagram,Página web,Baja,1,0,0,0,0,0,18,6,Rosa Flores Cruz,rosa23@outlook.com,+51 941743337
Limpieza dental,Facebook,Google Ads,Alta,1,0,1,0,0,0,10,6,Renzo Chávez Ruiz,renzo98@outlook.com,+51 958135722
Cirugía oral,WhatsApp,Página web,Media,0,0,0,0,1,0,11,4,Karla Herrera Cruz,karla63@yahoo.es,+51 972409439
Revisión general,Otro,Llamada directa,Media,1,0,0,1,1,0,10,5,Renzo Vásquez Sánchez,renzo56@yahoo.es,+51 917176071
Cirugía oral,Otro,Google Ads,Baja,0,1,1,1,0,0,13,1,Luis Sánchez García,luis58@outlook.com,+51 975329187
Revisión general,Instagram,Google Ads,Alta,1,0,0,0,1,0,16,7,Ana Pérez García,ana53@gmail.com,+51 931469648
Ortodoncia,Otro,Página web,Baja,0,1,1,0,1,1,19,0,Karla Pérez Mendoza,karla56@yahoo.es,+51 942764589
Extracción,WhatsApp,Página web,Media,1,1,0,0,1,1,9,6,Ana Vásquez Torres,ana28@hotmail.com,+51 969626697
Implantes,Otro,Recomendación,Alta,0,1,1,1,0,0,18,1,José Castro Pérez,josé18@outlook.com,+51 964462003
Carillas,Instagram,Google Ads,Alta,0,1,0,0,1,1,15,7,María Morales Castro,maría11@yahoo.es,+51 914988629
Ortodoncia,Facebook,Página web,Baja,0,0,0,1,0,0,13,6,Jorge Chávez Mendoza,jorge78@gmail.com,+51 945985437
Limpieza dental,Otro,Google Ads,Media,0,0,1,0,0,0,23,3,María Chávez Martínez,maría82@hotmail.com,+51 987180424
Carillas,WhatsApp,Llamada directa,Media,1,0,0,0,0,0,21,0,Luis Flores Torres,luis16@outlook.com,+51 924036313
Endodoncia,Facebook,Recomendación,Baja,1,1,1,1,1,1,7,6,José Sánchez Sánchez,josé30@hotmail.com,+51 956474682
Cirugía oral,WhatsApp,Google Ads,Baja,0,0,1,0,0,0,21,0,Ana Chávez Herrera,ana19@gmail.com,+51 939149837
Implantes,Instagram,Recomendación,Alta,0,0,1,0,0,0,14,8,Pedro Rodríguez Cruz,pedro24@outlook.com,+51 930223156
Implantes,Facebook,Recomendación,Baja,1,1,1,1,0,1,9,1,Jorge García Chávez,jorge28@gmail.com,+51 963107073
Implantes,Facebook,Llamada directa,Alta,1,0,0,0,0,0,19,0,José Herrera Vásquez,josé76@hotmail.com,+51 965358821
Extracción,Instagram,Llamada directa,Media,0,1,1,1,0,0,19,4,Diana García Pérez,diana14@hotmail.com,+51 986578042
Blanqueamiento,Instagram,Google Ads,Media,1,1,1,0,0,0,14,0,Carlos Flores Martínez,carlos67@outlook.com,+51 997711564
Revisión general,WhatsApp,Llamada directa,Baja,0,0,1,0,1,1,16,4,Karla Rojas Martínez,karla20@yahoo.es,+51 977386553
Limpieza dental,Instagram,Página web,Media,0,0,0,1,0,0,15,0,Fernando Rojas Rojas,fernando27@hotmail.com,+51 985800054
Revisión general,Otro,Recomendación,Media,0,1,1,0,0,1,14,6,Carmen Ruiz Herrera,carmen52@yahoo.es,+51 985226910
Endodoncia,Otro,Página web,Baja,1,0,1,0,0,1,20,2,Fernando Rodríguez García,fernando46@gmail.com,+51 970055802
Cirugía oral,Instagram,Página web,Baja,1,0,0,1,0,0,13,11,Rosa Ruiz Ruiz,rosa82@yahoo.es,+51 956004211
Revisión general,WhatsApp,Llamada directa,Alta,1,1,0,0,0,0,19,5,Diana Herrera Vásquez,diana58@outlook.com,+51 958123088
Cirugía oral,Otro,Página web,Alta,0,0,0,0,1,0,16,6,Andrea Ruiz Herrera,andrea30@outlook.com,+51 967107003
Carillas,Facebook,Llamada directa,Baja,0,1,0,0,1,0,9,5,Jorge Silva García,jorge90@gmail.com,+51 930823335
Blanqueamiento,WhatsApp,Llamada directa,Media,0,1,1,1,0,1,14,0,José Quispe Ruiz,josé29@hotmail.com,+51 966367542
Cirugía oral,Facebook,Llamada directa,Baja,1,0,0,1,0,0,14,6,Jessica García Torres,jessica51@outlook.com,+51 982397874
Implantes,Instagram,Página web,Baja,0,1,0,1,0,0,12,0,Diana Torres Herrera,diana96@gmail.com,+51 964528837
Extracción,WhatsApp,Recomendación,Media,1,1,0,0,1,0,12,12,Luis Ramírez Pérez,luis70@hotmail.com,+51 953460792
Blanqueamiento,WhatsApp,Página web,Media,1,0,1,0,0,0,17,0,Karla Rodríguez Torres,karla66@outlook.com,+51 950246844
Blanqueamiento,Otro,Google Ads,Media,1,0,1,0,1,0,17,1,Diana Ruiz Quispe,diana49@yahoo.es,+51 930584568
Ortodoncia,Otro,Llamada directa,Alta,0,1,1,1,0,0,16,7,Pedro Rojas Morales,pedro10@hotmail.com,+51 938545423
Cirugía oral,Otro,Llamada directa,Media,0,0,0,1,0,0,15,7,Diana Silva Mendoza,diana24@outlook.com,+51 979939970
Implantes,WhatsApp,Recomendación,Media,0,0,0,0,1,1,13,9,Fiorella Sánchez Chávez,fiorella46@yahoo.es,+51 989179359
Carillas,Otro,Google Ads,Alta,1,0,1,1,0,0,13,9,José Ramírez Gómez,josé69@hotmail.com,+51 921535316
Revisión general,Instagram,Recomendación,Media,0,0,1,0,1,1,15,2,Elena Flores Rodríguez,elena17@outlook.com,+51 911932182
Limpieza dental,Instagram,Google Ads,Media,0,1,0,0,0,0,17,0,Carlos Ruiz Herrera,carlos68@hotmail.com,+51 910767947
Cirugía oral,Instagram,Google Ads,Media,1,1,1,1,1,0,20,6,Luis Herrera Gómez,luis65@hotmail.com,+51 979941971
Carillas,Instagram,Google Ads,Baja,0,1,0,1,0,0,16,1,Luis Mendoza Mendoza,luis37@yahoo.es,+51 919871687
Revisión general,WhatsApp,Recomendación,Alta,0,0,1,0,1,1,17,3,Fiorella Rojas Ramírez,fiorella97@gmail.com,+51 996576779
Blanqueamiento,Facebook,Google Ads,Baja,0,0,0,1,0,0,8,5,José García Quispe,josé41@yahoo.es,+51 967578650
Carillas,Facebook,Recomendación,Alta,1,0,1,0,0,1,7,9,María Herrera Herrera,maría27@hotmail.com,+51 952934156
Endodoncia,Facebook,Página web,Baja,0,1,0,1,0,1,12,7,Ana Castro Cruz,ana89@outlook.com,+51 933469703
Cirugía oral,WhatsApp,Página web,Alta,0,0,0,0,0,0,16,3,Renzo Chávez Torres,renzo37@outlook.com,+51 967866900
Extracción,Facebook,Google Ads,Alta,0,0,0,0,0,0,12,2,Fernando Herrera Martínez,fernando94@gmail.com,+51 950576804
Ortodoncia,Instagram,Google Ads,Media,1,1,1,0,0,0,6,1,Fiorella Chávez Silva,fiorella74@outlook.com,+51 921342755
Limpieza dental,WhatsApp,Google Ads,Baja,0,0,0,1,0,0,13,12,Luis Ruiz Silva,luis23@outlook.com,+51 925306767
Implantes,Facebook,Página web,Media,1,0,1,0,0,1,21,4,Diana Ramírez Quispe,diana20@gmail.com,+51 981456975
Endodoncia,WhatsApp,Recomendación,Alta,0,0,0,1,1,0,19,7,Raúl Castro Sánchez,raúl88@hotmail.com,+51 933263461
Extracción,Facebook,Recomendación,Media,0,1,0,0,0,1,8,8,Fiorella Pérez Herrera,fiorella82@hotmail.com,+51 914312325
Extracción,WhatsApp,Recomendación,Media,0,1,0,1,0,0,14,5,María Vásquez Herrera,maría44@yahoo.es,+51 932327770
Revisión general,Otro,Recomendación,Media,1,0,1,0,0,0,13,8,Fiorella Chávez Silva,fiorella76@yahoo.es,+51 963819122
Revisión general,Instagram,Google Ads,Baja,0,0,1,1,0,0,13,4,Jorge Pérez Martínez,jorge14@yahoo.es,+51 955469370
Revisión general,Otro,Llamada directa,Alta,0,1,1,0,0,0,16,9,Jorge Chávez Gómez,jorge20@outlook.com,+51 994856417
Endodoncia,Facebook,Google Ads,Alta,0,1,1,1,1,1,13,9,María Martínez García,maría78@hotmail.com,+51 983137073
Endodoncia,WhatsApp,Llamada directa,Media,0,0,1,0,1,0,19,2,Fiorella Castro Flores,fiorella25@outlook.com,+51 967172156
Ortodoncia,Otro,Página web,Baja,0,1,1,0,1,1,9,4,Pedro Martínez Sánchez,pedro57@yahoo.es,+51 963409002
Ortodoncia,Otro,Página web,Baja,0,0,1,0,0,0,17,7,Lucía Mendoza Mendoza,lucía69@hotmail.com,+51 982558740
Extracción,Instagram,Recomendación,Media,0,1,1,1,0,1,18,6,Raúl Castro Vásquez,raúl98@gmail.com,+51 913134913
Cirugía oral,Otro,Llamada directa,Alta,0,1,1,0,0,0,13,5,María Silva Mendoza,maría83@yahoo.es,+51 991601673
Extracción,Instagram,Recomendación,Baja,0,1,1,1,1,1,15,7,Pedro Mendoza Rodríguez,pedro91@hotmail.com,+51 928490136
Endodoncia,Instagram,Recomendación,Media,1,1,0,0,1,0,23,10,Rosa Martínez Vásquez,rosa70@outlook.com,+51 963604080
Limpieza dental,WhatsApp,Google Ads,Media,1,0,0,0,1,1,14,0,Andrea Flores Silva,andrea33@yahoo.es,+51 971128262
Cirugía oral,Otro,Llamada directa,Baja,1,1,1,0,0,0,17,2,Carlos Pérez Quispe,carlos23@yahoo.es,+51 993633059
Extracción,Otro,Llamada directa,Media,1,1,0,1,0,0,18,0,Fiorella Rodríguez Vásquez,fiorella32@hotmail.com,+51 973341117
Ortodoncia,WhatsApp,Recomendación,Baja,1,0,0,1,1,1,10,9,Luis Cruz Pérez,luis75@outlook.com,+51 929998566
Endodoncia,Otro,Google Ads,Baja,0,0,1,0,0,0,24,5,Jessica Torres Sánchez,jessica16@hotmail.com,+51 934774397
Carillas,Instagram,Recomendación,Alta,0,0,0,0,1,0,13,4,Carmen Ramírez Silva,carmen71@hotmail.com,+51 989584410
Extracción,WhatsApp,Google Ads,Media,0,1,0,0,0,1,13,4,Raúl Castro Ramírez,raúl25@hotmail.com,+51 952055516
Ortodoncia,Otro,Recomendación,Media,1,1,0,0,1,0,17,1,Lucía García Torres,lucía40@outlook.com,+51 978146983
Ortodoncia,Otro,Recomendación,Baja,0,1,0,1,1,0,15,6,Ana Rodríguez García,ana58@outlook.com,+51 916690224
Limpieza dental,Instagram,Página web,Baja,1,1,0,0,0,1,13,10,Jorge Cruz Castro,jorge12@hotmail.com,+51 915253258
Endodoncia,Facebook,Google Ads,Media,1,0,1,1,1,0,17,7,Carlos Castro Ramírez,carlos44@gmail.com,+51 992582989
Cirugía oral,Otro,Recomendación,Baja,0,0,0,0,1,0,9,3,Fernando Flores Cruz,fernando47@outlook.com,+51 940946098
Ortodoncia,Instagram,Página web,Baja,0,1,0,1,0,1,20,2,Carlos Ruiz Gómez,carlos95@hotmail.com,+51 979652042
Cirugía oral,WhatsApp,Página web,Baja,0,1,1,0,1,0,15,7,Lucía García Sánchez,lucía65@gmail.com,+51 980116346
Blanqueamiento,Otro,Llamada directa,Baja,0,0,1,1,0,0,16,2,Carlos Martínez Vásquez,carlos73@yahoo.es,+51 989766745
Implantes,Otro,Recomendación,Baja,1,1,0,1,0,1,13,3,Jorge Rojas Sánchez,jorge94@yahoo.es,+51 951613683
